Date,Time,Open ,High,Low,Close,Volume,Open Interest
20251205,09:15,1530.4,1532,1522.4,1526,447582,0
20251205,09:16,1526,1529.9,1526,1528,81335,0
20251205,09:17,1527.6,1530,1527.6,1529.4,70637,0
20251205,09:18,1529.4,1529.5,1524.6,1525.5,54748,0
20251205,09:19,1525.3,1527.4,1525.2,1527.4,48696,0
20251205,09:20,1527.2,1527.7,1526,1527.7,32390,0
20251205,09:21,1527.7,1527.9,1526.4,1526.4,26958,0
20251205,09:22,1526.8,1527.4,1526.2,1527.1,35642,0
20251205,09:23,1526.8,1527.2,1526.3,1526.6,18283,0
20251205,09:24,1526.7,1526.7,1522.5,1524.3,55696,0
20251205,09:25,1524.2,1524.9,1523.5,1524.4,30499,0
20251205,09:26,1524.3,1524.9,1523.8,1524,37342,0
20251205,09:27,1524.2,1525,1524.2,1524.5,42148,0
20251205,09:28,1524.5,1525,1523.6,1524.6,34073,0
20251205,09:29,1524.4,1525.2,1523.6,1524.1,45778,0
20251205,09:30,1524.2,1524.2,1523,1523.5,36342,0
20251205,09:31,1523.5,1523.7,1523,1523.3,34184,0
20251205,09:32,1523.1,1523.8,1523,1523.2,20848,0
20251205,09:33,1523,1524.6,1523,1523.6,58670,0
20251205,09:34,1523.6,1524.8,1523.4,1524.7,92465,0
20251205,09:35,1524.7,1525,1523.3,1523.6,15788,0
20251205,09:36,1523.6,1523.6,1521.5,1521.7,41948,0
20251205,09:37,1521.8,1521.8,1520.6,1520.9,29055,0
20251205,09:38,1520.9,1521.8,1520.7,1521.6,40079,0
20251205,09:39,1521.5,1522.5,1521.3,1521.3,19743,0
20251205,09:40,1521.3,1521.9,1521.1,1521.5,8041,0
20251205,09:41,1521.6,1523.3,1521.5,1522.9,27573,0
20251205,09:42,1522.8,1524.6,1522.8,1524.3,47314,0
20251205,09:43,1524.3,1524.3,1523.3,1524,9675,0
20251205,09:44,1523.5,1524.9,1523.5,1524.5,22173,0
20251205,09:45,1524.9,1526.2,1524.4,1524.7,24447,0
20251205,09:46,1524.7,1526.7,1524.7,1526.4,83459,0
20251205,09:47,1525.8,1526,1525.4,1525.5,10618,0
20251205,09:48,1525.6,1527.4,1525.6,1527.1,17533,0
20251205,09:49,1527.4,1527.7,1526.7,1527.5,14061,0
20251205,09:50,1527,1527.1,1526,1526.4,14231,0
20251205,09:51,1526,1527.7,1526,1526.9,21317,0
20251205,09:52,1526.5,1528.4,1526.5,1528,24462,0
20251205,09:53,1527.8,1528.8,1526.2,1526.2,27306,0
20251205,09:54,1526.1,1526.4,1524.8,1525.7,57373,0
20251205,09:55,1525.7,1526,1525.1,1525.1,11152,0
20251205,09:56,1525.1,1525.5,1525.1,1525.4,9800,0
